gid_0,gid_1,name_0,name_1,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
WSM,WSM.3_1,Samoa,Atua,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.3_1,Samoa,Atua,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.3_1,Samoa,Atua,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.4_1,Samoa,Fa'asaleleaga,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.4_1,Samoa,Fa'asaleleaga,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.4_1,Samoa,Fa'asaleleaga,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.5_1,Samoa,Gaga'emauga,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.5_1,Samoa,Gaga'emauga,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.5_1,Samoa,Gaga'emauga,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.6_1,Samoa,Gagaifomauga,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.6_1,Samoa,Gagaifomauga,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.6_1,Samoa,Gagaifomauga,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.7_1,Samoa,Palauli,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.7_1,Samoa,Palauli,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.7_1,Samoa,Palauli,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.8_1,Samoa,Satupa'itea,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.8_1,Samoa,Satupa'itea,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.8_1,Samoa,Satupa'itea,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.9_1,Samoa,Tuamasaga,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
