gid_0,gid_1,name_0,name_1,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,bau,bws,Tot,2.11495534,1316,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,pes,bws,Dom,2.217291057,1189,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,pes,bws,Ind,2.648620543,1036,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,pes,bws,Irr,2.117397547,1247,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,pes,bws,Liv,2.476599063,1083,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,pes,bws,Tot,2.126316299,1283,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,opt,bws,Dom,2.284973219,1138,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,opt,bws,Ind,2.633150301,1045,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,opt,bws,Irr,1.909285624,1379,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,opt,bws,Liv,2.459392001,1079,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,opt,bws,Tot,1.95173272,1401,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,bau,bws,Dom,2.735240201,1069,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,bau,bws,Ind,2.814187485,1084,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2080,bau,bws,Irr,2.664832936,1145,2,Medium - High (20-40%),Asia,South Asia
